gender,age,grade_aggregate,dream_job,fav_sub1,fav_sub2,fav_sub3,interest,learning_style,selected_program
Female,30,10,Research and Development Scientist,Biology,Chemistry,Physics,Science,Analytical,BSc. Biomedical Engineering
Male ,18,6,Chief Executive Officer (CEO),Business,Mathematics,Economics,Business,Global,BSc. Administration - Legon Campus
Female,30,12,Oceanographer,Biology,Chemistry,Physics,Science,Analytical,BSc. Physical Sciences
Female,20,8,Accountant,Mathematics,Economics,Business,Accounting,Logical,BSc. Administration - Legon Campus
Male ,24,15,Failure Analysis Engineer,Physics,Chemistry,Mathematics,Science,Reflective,BSc. Materials Science & Engineering
Female,26,21,Musician,Theater Arts,Creative Arts,English Language,Music,Auditory,Bachelor of Arts City Campus
Male ,14,11,Manufacturing Manager,Mathematics,Physics,Chemistry,Food Science,Analytical,BSc. Food Process Engineering
Male ,24,6,Art Teacher,Creative Arts,General Knowledge in Art,Education,Education,Visual,Bachelor of Arts (General Arts Background)
Female,14,14,Sports Nutritionist,Biology,Chemistry,Physical Education,Sports,Kinesthetic,BSc. Nutrition & Dietetics
Male ,18,6,Human Resources Manager,Psychology,Economics,Mathematics,Business,Social,BSc. Administration - Legon Campus
Female,28,15,Soil Scientist,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Female,17,8,Business Development Manager,Business,Economics,Mathematics,Business,Verbal,BSc. Administration - Legon Campus
Female,29,13,Stockbroker,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,31,7,Surgeon,Biology,Chemistry,Physics,Science,Visual,Bachelor of Surgery
Male ,15,17,Art Director,Creative Arts,General Knowledge in Art,General Knowledge in Art,Arts,Visual,Bachelor of Arts City Campus
Male ,14,7,Education Administrator,English Language,Social Studies,Economics,Education,Tactile,BSc. Education
Male ,24,15,Dancer,Creative Arts,Biology,Physics,Arts,Kinesthetic,Bachelor of Fine Arts
Female,22,21,Foreign Language Teacher,French,Linguistics,Linguistics,Languages,Verbal,Bachelor of Arts Full-Fee Paying
Male ,25,16,Seismologist,Science,Physics,Mathematics,Science,Analytical,BSc. Earth Sciences
Male ,21,24,Aquaculture Farmer,Agricultural Science,Biology,Chemistry,Environment,Verbal,BSc. Agricultural Engineering (Full-Feepaying)
Male ,24,7,Investment Banker,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus
Male ,21,8,Clinical Psychologist,Biology,Chemistry,Mathematics,Science,Analytical,BSc. Psychology
